109,3892,-15784,-11740,1 
110,4740,-16416,-12040,1 
111,5164,-17088,-12720,1 
112,5404,-17136,-14068,1 
113,4916,-17276,-15232,1 
114,3940,-17496,-16196,1 
115,3388,-17524,-16588,1 
116,2836,-17444,-16760,1 
117,2688,-17232,-16628,1 
118,2768,-16800,-15772,1 
119,3184,-15808,-15444,1 
120,3372,-14156,-15220,1 
121,3776,-12940,-14624,1 
122,3940,-11936,-13668,1 
123,3960,-11344,-12900,1 
124,3952,-11228,-12124,1 
125,4036,-11188,-11004,1 
126,4112,-11396,-9220,1 
127,4544,-11376,-7768,1 
128,4816,-11288,-5744,1 
129,5028,-10864,-4220,1 
130,5360,-10680,-3492,1 
131,5796,-10680,-2928,1 
132,6040,-10952,-3356,1 
133,6332,-11432,-3964,1 
134,6432,-11556,-4180,1 
135,6400,-11612,-4008,1 
136,6340,-12220,-4208,1 
137,5604,-13772,-4584,1 
138,7144,-14556,-4192,1 
139,6940,-14196,-2808,1 
140,7120,-12144,-728,1 
141,6376,-9224,272,1 
142,8008,-7644,1048,1 
143,10068,-6808,80,1 
144,8604,-7780,-1368,1 
145,7420,-9028,-3480,1 
146,6964,-10816,-4540,1 
147,7840,-11876,-3484,1 
148,8048,-12148,-1528,1 
149,7964,-11140,116,1 
150,8368,-8812,2148,1 
151,8592,-7276,3800,1 
152,8560,-6760,4696,1 
153,8404,-7932,5068,1 
154,8644,-10120,5196,1 
155,8796,-12832,4840,1 
156,8752,-14620,4000,1 
157,8820,-15340,3244,1 
158,9052,-14980,2120,1 
159,9200,-14232,4636,1 
160,7176,-8456,-4364,1 
161,8932,-7444,2064,1 
162,8496,-6928,2536,1 
163,7840,-6992,4780,1 
164,7616,-7516,5940,1 
165,6964,-9072,8088,1 
166,7512,-10888,8984,1 
167,7948,-12500,9760,1 
168,6964,-15088,11232,1 
169,6376,-18304,12588,1 
170,6520,-20036,13868,1 
171,6692,-19496,14700,1 
172,6512,-17692,15720,1 
173,7088,-15000,17136,1 
174,7784,-11012,17652,1 
175,7608,-8300,18508,1 
176,7640,-7436,18596,1 
177,7272,-7916,18416,1 
178,7368,-8784,17480,1 
179,6980,-10436,17000,1 
180,7096,-10944,16628,1 
181,7268,-10708,15936,1 
182,7376,-10244,15472,1 
183,7204,-10220,14708,1 
184,7192,-10308,13924,1 
185,6660,-10388,13436,1 
186,6080,-10388,12924,1 
187,5868,-10484,12412,1 
188,5704,-11108,11604,1 
189,5560,-12476,10884,1 
190,5884,-14148,9988,1 
191,6196,-15788,9904,1 
192,6828,-16240,9832,1 
193,6752,-16436,10156,1 
194,6424,-15908,11272,1 
195,6196,-15608,11976,1 
196,6124,-15116,12800,1 
197,6172,-14980,13816,1 
198,6184,-14716,14472,1 
199,6020,-14292,14716,1 
200,5964,-13744,14924,1 
201,6056,-12916,15012,1 
202,5908,-12152,14536,1 
203,6096,-11356,14228,1 
204,5956,-10044,13800,1 
205,5856,-8988,13064,1 
206,5936,-7824,12484,1 
207,5652,-6720,11308,1 
208,5908,-5980,10244,1 
209,5840,-5360,9488,1 
210,5872,-4604,8748,1 
211,5544,-4496,7728,1 
212,5952,-4816,7284,1 
213,7196,-5712,6276,1 
214,9700,-7540,5924,1 
215,7716,-9604,7232,1 
216,5544,-10452,8044,1 
